-35.3405,56.3578,-34.5367
-33.9374,56.5916,-33.1043
-33.382,56.9863,-33.5136
-19.1464,59.2809,-34.4928
1.84157,54.1362,-36.7144
13.7387,45.4107,-36.3052
23.6042,30.0204,-36.7729
26.4542,12.2917,-35.5013
24.4081,3.17159,-36.4075
21.0319,-3.43467,-36.539
17.5826,-9.32476,-34.3321
9.63168,-16.3549,-34.639
-4.7793,-22.5519,-36.3344
-24.7881,-22.4496,-37.2552
-40.6606,-14.4402,-39.2283
-51.71,-3.49313,-38.4537
-56.8547,7.95089,-37.8837
-59.164,18.3718,-36.9921
-58.1116,28.1935,-37.2259
-54.8231,38.3221,-35.9836
-48.3338,47.0915,-36.0421
-40.6168,53.23,-40.0468
-35.7206,54.2385,-45.1476
-32.0813,55.5393,-44.6653
-26.6735,55.5393,-49.2254
-22.7565,54.7354,-51.4177
-15.2002,56.1385,-49.4446
-11.634,55.3785,-48.5969
-6.86933,55.1739,-43.5253
0.263081,54.1947,-37.7375
1.43233,53.5662,-32.3589
-4.63315,55.3055,-26.235
-12.8033,54.6039,-17.9187
-18.9272,54.4139,-16.1795
-24.905,52.9523,-13.6948
-33.1774,53.1423,-18.2695
-37.3136,51.3885,-18.4157
-38.8775,52.9377,-24.6565
-38.9944,53.6246,-28.7343
-36.9775,55.3201,-31.5843
-36.5536,54.8378,-42.6776
-37.9567,48.8161,-57.0739
-33.4405,47.9977,-62.6133
-29.8158,43.3499,-67.2464
-29.0266,36.6852,-72.1719
-26.425,32.5051,-73.9257
-25.665,22.4057,-77.6673
-26.2642,2.96697,-73.7357
-23.7796,-14.2356,-60.0117
-28.2958,-20.6811,-41.5083
-30.9412,-16.9249,-17.8018
-28.6904,-11.064,-8.08243
-28.0181,-4.42853,-2.42619
-28.0473,0.467699,0.891552
-26.1035,9.12014,4.66238
-25.855,17.5533,6.03625
-25.0073,27.185,5.17392
-22.815,37.9129,1.71003
-23.268,45.703,-5.27623
-26.4104,54.4577,-16.1795
-29.4358,56.7816,-25.3142
-31.1459,57.3224,-30.0935
-36.1736,56.2262,-34.0397
-41.9176,53.0839,-41.8883
-45.1476,47.1646,-48.4069
-46.4484,39.9298,-57.8047
-41.0552,34.3467,-65.551
-33.6743,28.0473,-73.1365
-23.2534,20.5934,-77.5504
-14.2356,18.5618,-77.5358
-12.2186,19.3803,-76.7027
-9.95323,19.2049,-77.2727
-11.064,19.2049,-77.5358
-26.2789,14.9956,-76.2642
-39.696,16.9103,-70.9588
-48.6261,15.0102,-62.8179
-52.0462,13.4756,-57.834
-54.7062,14.3818,-54.0924
-57.9801,16.0918,-41.2014
-57.644,18.2257,-24.1011
-41.4352,20.988,-1.79772
-26.3227,23.5019,5.02777
-18.898,20.9588,6.24086
-10.4209,19.7749,6.10932
-0.920783,18.3864,3.88775
11.3709,16.691,-4.00468
20.5642,14.5425,-13.4464
25.3435,15.0687,-25.4604
27.0389,14.7179,-36.7583
26.1912,15.6387,-45.4253
22.7419,14.4256,-52.66
17.0126,15.6679,-62.5256
8.93014,16.7787,-70.0964
0.146156,18.4449,-74.7734
-7.00088,18.6203,-76.7319
-8.9009,20.418,-77.8573
-10.3332,26.4835,-76.6735
-8.38936,25.285,-76.2935
-9.03244,23.1657,-76.5127
-10.9032,23.8234,-77.1412
-13.9579,20.1695,-77.8719
-17.1441,18.401,-78.8658
-18.1964,16.501,-78.9243
-23.7504,13.4171,-78.4566
-27.1704,12.9202,-76.6296
-29.6258,13.6364,-76.3373
-30.8389,15.1272,-76.1619
-28.6904,16.7056,-76.1765
-35.2236,17.0272,-74.4373
-47.0038,15.4779,-65.3902
-56.387,16.4279,-52.5723
-60.0701,18.2257,-37.109
-58.4332,18.9564,-22.4934
-52.9669,18.8834,-12.4233
-48.2023,18.898,-5.51008
-40.7337,17.6264,-0.292312
-26.8196,16.3695,5.70009
-10.3332,18.898,6.66472
4.98392,21.2219,0.570009
14.7618,20.0526,-7.41011
21.0757,20.7395,-17.188
25.9719,19.2634,-37.5621
24.9488,17.3049,-47.0476
21.368,17.1149,-54.1654
15.3464,16.121,-63.3879
8.75475,18.138,-70.1257
-1.57849,20.4326,-74.8027
-10.5232,21.4703,-77.1704
-17.8456,20.0965,-78.515
-25.8842,20.1549,-77.6673
